Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,00,2015-00,206.38,206.88,204.18,205.43,121465900.0,183.53,0.0,183.53,183.53
2015-01-05,2015,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,01,2015-01,204.17,204.37,201.35,201.72,169632600.0,180.21,-0.018059648479837764,181.87,181.87
2015-01-06,2015,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,01,2015-01,202.09,202.72,198.86,199.82,209151400.0,178.51,-0.009419051255093125,180.75,180.75
2015-01-07,2015,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,01,2015-01,201.42,202.72,200.88,202.31,125346700.0,180.74,0.012461324940420404,180.7475,180.7475
2015-01-08,2015,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,01,2015-01,204.01,206.16,203.99,205.9,147217800.0,183.95,0.01774499206955782,181.388,181.388
2015-01-09,2015,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,01,2015-01,206.4,206.42,203.51,204.25,158567300.0,182.47,-0.008013488123234658,181.56833333333336,181.56833333333336
2015-01-12,2015,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,02,2015-02,204.41,204.6,201.92,202.65,144396100.0,181.04,-0.00783370951094231,181.49285714285716,181.49285714285716
2015-01-13,2015,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,02,2015-02,204.12,205.48,200.51,202.08,214553300.0,180.53,-0.002812697222566829,181.3725,181.3725
2015-01-14,2015,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,02,2015-02,199.65,201.1,198.57,200.86,192991100.0,179.44,-0.006037241928171455,181.1577777777778,181.1577777777778
2015-01-15,2015,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,02,2015-02,201.63,202.01,198.88,199.02,176613900.0,177.8,-0.009160399854863499,180.822,180.822
2015-01-16,2015,1,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,02,2015-02,198.77,201.82,198.55,201.63,211879600.0,180.13,0.01311421554016956,180.7590909090909,180.7590909090909
2015-01-20,2015,1,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,03,2015-03,202.4,202.72,200.17,202.06,130991100.0,180.51,0.0021325617314147394,180.73833333333332,180.73833333333332
2015-01-21,2015,1,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,03,2015-03,201.5,203.66,200.94,203.08,122942700.0,181.43,0.005048001618904063,180.79153846153844,180.79153846153844
2015-01-22,2015,1,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,03,2015-03,203.99,206.26,202.33,206.1,174356000.0,184.12,0.014870968705069654,181.02928571428566,181.02928571428566
2015-01-23,2015,1,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,03,2015-03,205.79,206.1,204.81,204.97,117516800.0,183.11,-0.005482913391830158,180.99928571428566,181.16799999999998
2015-01-26,2015,1,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F4AF57F100>>,04,2015-04,204.71,205.56,203.85,205.45,92009700.0,183.54,0.002341883101001807,181.2371428571428,181.31624999999997
