Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,00,2015-00,86.27,86.72,85.55,85.9,4501800.0,74.44,0.0,74.44,74.44
2015-01-05,2015,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,01,2015-01,85.72,86.32,85.51,85.65,6979000.0,74.22,-0.0029103920860621413,74.33,74.33
2015-01-06,2015,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,01,2015-01,85.98,86.75,85.79,86.31,8205100.0,74.79,0.007705611374573262,74.48333333333333,74.48333333333333
2015-01-07,2015,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,01,2015-01,86.78,88.68,86.67,88.6,8498400.0,76.78,0.02653231637256237,75.0575,75.0575
2015-01-08,2015,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,01,2015-01,89.21,90.67,89.07,90.47,12713600.0,78.4,0.021106117564453353,75.726,75.726
2015-01-09,2015,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,01,2015-01,90.32,90.39,89.25,89.35,8522500.0,77.43,-0.012379823611380236,76.01,76.01
2015-01-12,2015,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,02,2015-02,89.36,90.31,89.22,90.02,7372500.0,78.01,0.007498260847287552,76.2957142857143,76.2957142857143
2015-01-13,2015,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,02,2015-02,90.8,90.97,88.93,89.31,8215400.0,77.39,-0.007886770851457281,76.4325,76.4325
2015-01-14,2015,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,02,2015-02,87.65,88.52,86.5,86.61,11954300.0,75.05,-0.030231927458752583,76.27888888888889,76.27888888888889
2015-01-15,2015,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000021EC9057190>>,02,2015-02,87.0,87.78,86.7,87.38,9412700.0,75.72,0.008890253747889876,76.223,76.223
