Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2017-01-03,2017,1,3,Tuesday,1,2017-01,69.24,69.24,68.05,68.66,10473200.0,62.93,-0.006655123275529085,64.48571428571428,64.08980000000001,red
2017-01-04,2017,1,4,Wednesday,1,2017-01,68.66,69.63,68.6,69.06,7918000.0,63.3,0.005825822192305985,64.30642857142854,64.11200000000002,red
2017-01-05,2017,1,5,Thursday,1,2017-01,68.43,69.33,68.12,69.21,7099200.0,63.43,0.002171946595836305,64.16642857142854,64.12140000000001,red
2017-01-06,2017,1,6,Friday,1,2017-01,68.41,68.5,68.01,68.26,9491100.0,62.56,-0.01372635110734699,63.981428571428545,64.11020000000002,red
2017-01-09,2017,1,9,Monday,2,2017-02,68.33,68.8,68.32,68.71,8685200.0,62.97,0.0065923882509797424,63.83214285714283,64.10300000000001,red
2017-01-10,2017,1,10,Tuesday,2,2017-02,68.64,69.27,68.22,68.23,10256500.0,62.53,-0.006985657903145648,63.612857142857116,64.08260000000001,red
2017-01-11,2017,1,11,Wednesday,2,2017-02,68.2,68.62,68.19,68.53,6697600.0,62.81,0.004396674131811551,63.39785714285711,64.06500000000001,red
2017-01-12,2017,1,12,Thursday,2,2017-02,68.36,68.56,67.92,67.97,6544900.0,62.3,-0.008171259681358456,63.184285714285686,64.03660000000002,red
2017-01-13,2017,1,13,Friday,2,2017-02,67.98,68.02,67.08,67.13,10012500.0,61.53,-0.012358450607500404,63.02357142857141,64.00600000000003,red
2017-01-17,2017,1,17,Tuesday,3,2017-03,68.1,69.29,68.06,68.42,13167500.0,62.71,0.01921638739580267,62.94999999999998,63.996200000000016,green
2017-01-18,2017,1,18,Wednesday,3,2017-03,67.88,68.11,67.54,68.11,7321500.0,62.42,-0.004530948054785045,62.84571428571425,63.97740000000002,green
2017-01-19,2017,1,19,Thursday,3,2017-03,68.13,68.19,67.48,67.62,6821100.0,61.98,-0.007194162393120652,62.73571428571425,63.95820000000002,green
2017-01-20,2017,1,20,Friday,3,2017-03,67.74,67.83,67.02,67.18,12054700.0,61.57,-0.0065071194046377725,62.599285714285706,63.91960000000003,green
2017-01-23,2017,1,23,Monday,4,2017-04,67.01,67.18,66.56,66.65,7951400.0,61.09,-0.007889202483520763,62.43785714285713,63.871200000000016,red
2017-01-24,2017,1,24,Tuesday,4,2017-04,66.89,67.41,66.66,67.4,10710600.0,61.77,0.011252910598879451,62.35499999999998,63.81260000000003,red
2017-01-25,2017,1,25,Wednesday,4,2017-04,67.52,67.73,66.79,66.89,8722900.0,61.31,-0.007566729067650212,62.21285714285713,63.73940000000003,red
2017-01-26,2017,1,26,Thursday,4,2017-04,67.13,67.22,66.62,66.73,6504100.0,61.16,-0.0023918678484302625,62.05071428571427,63.66620000000002,red
2017-01-27,2017,1,27,Friday,4,2017-04,66.86,66.97,65.28,65.66,13433600.0,60.18,-0.016034809397454497,61.880714285714255,63.58680000000002,red
2017-01-30,2017,1,30,Monday,5,2017-05,65.63,66.48,65.63,66.42,8641500.0,60.88,0.011574646189390858,61.731428571428545,63.50460000000002,green
2017-01-31,2017,1,31,Tuesday,5,2017-05,66.21,66.89,65.88,66.74,9320900.0,61.17,0.004817586547052555,61.63428571428569,63.42860000000003,green
2017-02-01,2017,2,1,Wednesday,5,2017-05,66.46,66.71,66.04,66.23,9050000.0,60.7,-0.007641309883244741,61.4835714285714,63.38340000000003,green
2017-02-02,2017,2,2,Thursday,5,2017-05,66.34,67.14,66.34,66.7,8998700.0,61.13,0.007096286082135528,61.399999999999984,63.35860000000003,green
