Year,Month,Day,Weekday,Period,Hour,Min,Sec,Transaction,Item,Item_Price,Type
2016,10,30,Sunday,morning,9,58,11,1,Bread,3.01,food
2016,10,30,Sunday,morning,10,5,34,2,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,10,5,34,2,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,10,7,57,3,Hot chocolate,9.58,drinks
2016,10,30,Sunday,morning,10,7,57,3,Jam,10.08,food
2016,10,30,Sunday,morning,10,7,57,3,Cookies,7.35,food
2016,10,30,Sunday,morning,10,8,41,4,Muffin,3.01,food
2016,10,30,Sunday,morning,10,13,3,5,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,13,3,5,Pastry,2.91,food
2016,10,30,Sunday,morning,10,13,3,5,Bread,3.01,food
2016,10,30,Sunday,morning,10,16,55,6,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,16,55,6,Pastry,2.91,food
2016,10,30,Sunday,morning,10,16,55,6,Muffin,3.01,food
2016,10,30,Sunday,morning,10,19,12,7,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,19,12,7,Pastry,2.91,food
2016,10,30,Sunday,morning,10,19,12,7,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,19,12,7,Tea,6.65,drinks
2016,10,30,Sunday,morning,10,20,51,8,Pastry,2.91,food
2016,10,30,Sunday,morning,10,20,51,8,Bread,3.01,food
2016,10,30,Sunday,morning,10,21,59,9,Bread,3.01,food
2016,10,30,Sunday,morning,10,21,59,9,Muffin,3.01,food
2016,10,30,Sunday,morning,10,25,58,10,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,10,25,58,10,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,27,21,11,Bread,3.01,food
2016,10,30,Sunday,morning,10,27,21,11,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,27,21,11,Bread,3.01,food
2016,10,30,Sunday,morning,10,27,21,11,NONE,9.98,unknown
2016,10,30,Sunday,morning,10,30,14,12,Jam,10.08,food
2016,10,30,Sunday,morning,10,30,14,12,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,30,14,12,Tartine,8.06,food
2016,10,30,Sunday,morning,10,30,14,12,Pastry,2.91,food
2016,10,30,Sunday,morning,10,30,14,12,Tea,6.65,drinks
2016,10,30,Sunday,morning,10,31,24,13,Basket,8.46,unknown
2016,10,30,Sunday,morning,10,31,24,13,Bread,3.01,food
2016,10,30,Sunday,morning,10,31,24,13,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,32,46,14,Bread,3.01,food
2016,10,30,Sunday,morning,10,32,46,14,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,32,46,14,Pastry,2.91,food
2016,10,30,Sunday,morning,10,34,36,15,NONE,9.98,unknown
2016,10,30,Sunday,morning,10,34,36,15,NONE,9.98,unknown
2016,10,30,Sunday,morning,10,34,36,15,Mineral water,2.51,drinks
2016,10,30,Sunday,morning,10,34,36,15,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,10,37,8,16,Bread,3.01,food
2016,10,30,Sunday,morning,10,37,8,16,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,37,8,16,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,38,4,17,Hot chocolate,9.58,drinks
2016,10,30,Sunday,morning,10,41,56,18,Farm House,3.31,unknown
2016,10,30,Sunday,morning,10,43,8,19,Farm House,3.31,unknown
2016,10,30,Sunday,morning,10,43,8,19,Bread,3.01,food
2016,10,30,Sunday,morning,10,45,22,20,Bread,3.01,food
2016,10,30,Sunday,morning,10,45,22,20,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,49,29,21,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,49,29,21,Coffee,9.07,drinks
2016,10,30,Sunday,morning,10,49,29,21,Medialuna,9.07,food
2016,10,30,Sunday,morning,10,49,29,21,Bread,3.01,food
2016,10,30,Sunday,morning,10,52,15,22,Jam,10.08,food
2016,10,30,Sunday,morning,10,53,49,23,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,10,53,49,23,Muffin,3.01,food
2016,10,30,Sunday,morning,10,54,33,24,Bread,3.01,food
2016,10,30,Sunday,morning,10,55,22,25,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,10,56,8,26,Fudge,1.39,food
2016,10,30,Sunday,morning,11,2,19,27,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,11,3,24,28,Coffee,9.07,drinks
2016,10,30,Sunday,morning,11,3,24,28,Bread,3.01,food
2016,10,30,Sunday,morning,11,5,30,29,Bread,3.01,food
2016,10,30,Sunday,morning,11,5,30,29,Jam,10.08,food
2016,10,30,Sunday,morning,11,5,30,29,NONE,9.98,unknown
2016,10,30,Sunday,morning,11,7,19,30,Bread,3.01,food
2016,10,30,Sunday,morning,11,12,56,31,Basket,8.46,unknown
2016,10,30,Sunday,morning,11,16,15,32,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,11,16,15,32,Muffin,3.01,food
2016,10,30,Sunday,morning,11,22,49,33,Coffee,9.07,drinks
2016,10,30,Sunday,morning,11,25,45,34,Coffee,9.07,drinks
2016,10,30,Sunday,morning,11,25,45,34,Muffin,3.01,food
2016,10,30,Sunday,morning,11,27,34,35,Muffin,3.01,food
2016,10,30,Sunday,morning,11,27,34,35,Scandinavian,10.38,unknown
2016,10,30,Sunday,morning,11,33,8,36,Tea,6.65,drinks
2016,10,30,Sunday,morning,11,33,8,36,Bread,3.01,food
